schwedisch,deutsch,chapter,checkword,erfolg
"titta (-r, -de, -t) på [teve]",[Fernseh] schauen,3_4,titta pa [teve],0
"teve (-n, -apparater, -apparaterna) ",Fernseher,3_4,teve,0
"vin (-et, -er, -erna) ",Wein,3_4,vin,0
"chatta (-r, -de, -t) ",chatten,3_4,chatta,0
"gå (går, gick, gått) och lägga (lägger, la/lade, lagt) sig ",ins Bett gehen,3_4,ga sig,0
"lägga (lägger, la/lade, lagt) ",legen,3_4,lägga,0
"somna (-r, -de, -t) ",einschlafen,3_4,somna,0
"jämföra (jämför, -de, -t) ",vergleichen,3_4,jämföra,0
"kontrollera (-r, -de, -t)",kontrollieren,3_4,kontrollera,0
"aktiv (-t, -a) ",aktiv,3_4,aktiv,0
alltid ,immer,3_4,alltid,0
direkt ,sofort,3_4,direkt,0
efter,nach,3_4,efter,0
"ta (tar, tog, tagit) bussen [till]",den Bus nehmen [nach],3_4,ta bussen [till],0
"buss (-en, -ar, -arna) ",Bus,3_4,buss,0
"danskurs (-en, -er, -erna) ",Tanzkurs,3_4,danskurs,0
mellan ,zwischen,3_4,mellan,0
lindy hop ,Lindy Hop,3_4,lindy hop,0
"älska (-r, -de, -t) ",lieben,3_4,älska,0
"dans (-en, -er, -erna) ",Tanz,3_4,dans,0
"hungrig (-t, -a) ",hungrig,3_4,hungrig,0
förstås ,natürlich,3_4,förstas,0
"liten (litet, små) ",klein,3_4,liten,0
idag ,heute,3_4,idag,0
"stor (-t, -a) ",gross,3_4,stor,0
"biff (-en, -ar, -arna) ","Beefsteak, Hacksteak",3_4,biff,0
pommes frites ,Pommes frites,3_4,pommes frites,0
"bearnaisesås (-en, -er, -erna) ",Sauce béarnaise,3_4,bearnaisesas,0
"sås (-en, -er, -erna) ",Sauce,3_4,sas,0
hem ,nach Hause,3_4,hem,0
det tar [en timme],es/das dauert [eine Stunde],3_4,det tar [en timme],0
nästan ,"fast, beinahe, nahezu",3_4,nästan,0
på eftermiddagen ,am Nachmittag,3_4,pa eftermiddagen,0
"eftermiddag (-en, -ar, -arna) ",Nachmittag,3_4,eftermiddag,0
"skriva (skriver, skrev, skrivit) till ngn",an jmdn. schreiben,3_4,skriva till ngn,0
"berätta (-r, -de, -t) om",erzählen von/über,3_4,berätta om,0
"liv (-et, =, -en) ",Leben,3_4,liv,0
sedan,"dann, danach",3_4,sedan,0
i soffan,auf dem/auf das Sofa (wörtlich: im Sofa),3_4,i soffan,0
"soffa (-n, -or, -orna) ",Sofa,3_4,soffa,0
"piano (-t, -n, -na) ",Klavier,3_4,piano,0
"present (-en, -er, -erna) ",Geschenk,3_4,present,0
"favoritprogram (-met, =, -men)  ",Lieblingssendung,3_4,favoritprogram,0
"musik (-en, -)  ",Musik,3_4,musik,0
"fråga (-n, -or, -orna) om ngt",Frage über/zu etw.,3_4,fraga om ngt,0
bredvid,"daneben, nebenan",3_4,bredvid,0
"byta (byter, bytte, bytt)","tauschen, wechseln, umtauschen",3_4,byta,0
"roll (-en, -er, -erna)",Rolle,3_4,roll,0
i rutan,im Kasten,3_4,i rutan,0
"ruta (-n, -or, -orna)","Viereck, Feld, Kasten",3_4,ruta,0
på morgonen,am Morgen,3_4,pa morgonen,0
på kvällen ,am Abend,3_4,pa kvällen,0
"kväll (-en, -ar, -arna)  ",Abend,3_4,kväll,0
"skola (-n, -or, -orna)  ",Schule,3_4,skola,0
"titta (-r, -de, -t) på ngt","etw. anschauen, ansehen",3_5,titta pa ngt,0
"älg (-en, -ar, -arna) ",Elch,3_5,älg,0
Åh!,Oh!,3_5,Åh!,0
Vad fin!,Wie schön!,3_5,Vad fin!,0
"sätta (sätter, satte, satt) på [teven]",[den Fernseher] einschalten,3_5,sätta pa [teven],0
"film (-en, -er, -erna) ",Film,3_5,film,0
God natt! ,Gute Nacht!,3_5,God natt!,0
"natt (-en, nätter, nätterna)",Nacht,3_5,natt,0
Sov gott!,Schlaf gut!/Schlaft gut!,3_5,Sov gott!,0
"sova (sover, sov, sovit) ",schlafen,3_5,sova,0
"köpcentrum (köpcentret, =, köpcentren) ",Einkaufszentrum,3_5,köpcentrum,0
rakt fram ,geradeaus,3_5,rakt fram,0
på höger sida (av gatan),auf der rechten Seite (der Strasse),3_5,pa höger sida,0
höger  ,rechts,3_5,höger,0
"sida (-n, -or, -orna)",Seite,3_5,sida,0
måste (Präsens und Präteritum),müssen (Präsens und Präteritum),4_1,maste,0
"köpa (-er, -te, -t) ",kaufen,4_1,köpa,0
"närbutik (-en, -er, -erna) ",Quartierladen,4_1,närbutik,0
"butik (-en, -er, -erna)","Laden, Geschäft",4_1,butik,0
"kontantkort (-et, =, -en) ",Prepaidkarte,4_1,kontantkort,0
kontant,bar,4_1,kontant,0
"kort (-et, =, -en)",Karte,4_1,kort,0
"näsduk (-en, -ar, -arna) ","Nastuch, Taschentuch",4_1,näsduk,0
"följa (-er, -de, -t) med ",mitkommen,4_1,följa med,0
"snus (-et, -er, -erna) ",eine Art Lutschtabak,4_1,snus,0
"vilja (vill, ville, velat) ",wollen,4_1,vilja,0
"kebabställe (-t, -n, -na) ",Kebabstand,4_1,kebabställe,0
gärna ,gerne,4_1,gärna,0
"fika (-r, -de, -t)","Kaffee trinken, ""käfele""",4_1,fika,0
"kompis (-en, -ar, -arna) ","Kollege/Kollegin, Kumpel",4_1,kompis,0
"komma (kommer, kom, kommit) med",mitkommen,4_1,komma med,0
tyvärr ,leider,4_1,tyvärr,0
"farfar (farfadern, farfäder, farfäderna)",Grossvater väterlicherseits,4_1,farfar,0
"annan (annat, andra)","andere, anderer, anderes",4_1,annan,0
"hjälpverb (-et, =, -en)",Hilfsverb,4_1,hjälpverb,0
"din (ditt, -a) (possessivt pronomen)","dein, deine (Possessivpronomen)",4_1,din,0
"partner (-n, =, -na)",Partner/in,4_1,partner,0
"muntlig (-t, -a)",mündlich,4_1,muntlig,0
"övning (-en, -ar, -arna)",Übung,4_1,övning,0
"berätta (-r, -de, -t) ngt för ngn",jmdm. etw. erzählen,4_1,berätta ngt för ngn,0
i närbutiken,im Quartierladen,4_1,i närbutiken,0
"Ja, tack! Nästa! (auch: Ja tack, nästa?)","Der/die nächste, bitte!",4_1,"Ja, tack! Nästa!",0
nästa ,"nächster, nächste, nächstes",4_1,nästa,0
Jag skulle vilja ha ...,Ich hätte gerne ...,4_1,Jag skulle vilja ha ...,0
den/det här (demonstrativt pronomen),"der/die/das hier, dieser/diese/dieses (Demonstrativpronomen)",4_1,den/det här,0
"kosta (-r, -de, -t) ",kosten,4_1,kosta,0
"krona (-n, -or, -orna) ",Krone,4_1,krona,0
Något annat/mer? ,Noch etwas?,4_1,Nagot annat/mer?,0
något (indefinit pronomen),etwas (Indefinitpronomen),4_1,nagot,0
Javisst! ,Ja klar!/Aber ja!/Natürlich!,4_1,Javisst!,0
då,"da, dann; damals",4_1,da,0
"få (får, fick, fått)",bekommen (als Vollverb); dürfen (als Hilfsverb),4_1,fa,0
mer ,mehr,4_1,mer,0
"Nej, tack. ",Nein danke.,4_1,"Nej, tack.",0
Det var bra så.,Das ist alles. (wörtlich: Das war gut so.),4_1,Det var bra sa.,0
Det blir ... kronor.,Das macht ... Kronen.,4_1,Det blir ... kronor.,0
Tar ni kort? ,Kann ich mit Karte bezahlen? (wörtlich: Nehmt ihr Karten?),4_1,Tar ni kort?,0
absolut,"absolut, unbedingt",4_1,absolut,0
"sätta (sätter, satte, satt) in","einsetzen, hineinstellen, einführen",4_1,sätta in,0
"slå (slår, slog, slagit) koden ",den PIN-Code eingeben,4_1,sla koden,0
"slå (slår, slog, slagit)",schlagen,4_1,sla,0
"kod (-en, -er, -erna) ","PIN-Code, Kode",4_1,kod,0
"ingen (inget, inga) (indefinit pronomen)","kein, keiner, keines, keine (Indefinitpronomen)",4_1,ingen,0
"namnteckning (-en, -ar, -arna) ",Unterschrift,4_1,namnteckning,0
"leg (-et, =, -en) (Abkürzung von legitimation) ",Ausweis (ugs.),4_1,leg,0
"legitimation (-en, -er, -erna)",Ausweis,4_1,legitimation,0
"kvitto (-t, -n, -na) ",Quittung,4_1,kvitto,0
"Ja, tack.",Ja gerne.,4_1,"Ja, tack.",0
på kebabrestaurangen,im Kebabrestaurant,4_1,pa kebabrestaurangen,0
"En/ett ..., tack.","Einen/eine/ein ..., bitte.",4_1,"En/ett ..., tack.",0
"falafelmeny (-n, -er, -erna) ",Falafelmenü,4_1,falafelmeny,0
"meny (-n, -er, -erna) ",Menü,4_1,meny,0
Vill du äta här eller ta med?,Zum hier Essen oder zum Mitnehmen?,4_1,Vill du äta här eller ta med?,0
"ta (tar, tog, tagit) med",mitnehmen,4_1,ta med,0
"mellanläsk (-en, =, -en) ",mittelgrosser Softdrink,4_1,mellanläsk,0
Var det bra så? ,Ist das alles?,4_1,Var det bra sa?,0
Vänta lite!,Einen Augenblick! (wörtlich: Warte/Wartet kurz!),4_1,Vänta lite!,0
"tjuga (-n, -or, -orna)","Zwanziger (20 Kronen-Note, ugs.)",4_1,tjuga,0
"tjugolapp (-en, -ar, -arna)",20 Kronen-Note,4_1,tjugolapp,0
på kaféet,im Café,4_1,pa kaféet,0
"kafé (-et, -er, -erna)","Café, Kaffeehaus",4_1,kafé,0
"latte (-n, -)",[Kaffee] Latte,4_1,latte,0
den/det där (demonstrativt pronomen),"der/die/das dort, jener/jene/jenes (Demonstrativpronomen)",4_1,den/det där,0
"bulle (-n, bullar, bullarna)","Hefestück, Hefegebäck",4_1,bulle,0
"lyxbulle (-n, lyxbullar, lyxbullarna)  ","""Luxushefegebäck""",4_1,lyxbulle,0
"lyx (-en, -)",Luxus,4_1,lyx,0
"varsågod (sg.), varsågoda (pl.)","bitteschön, voilà",4_1,varsagod,0
strax  ,"gleich, sofort",4_1,strax,0
"prislista (-n, -or, -orna) ",Preisliste,4_1,prislista,0
nedan ,unten,4_1,nedan,0
i kiosken,im/am Kiosk,4_1,i kiosken,0
"kiosk (-en, -er, -erna) ",Kiosk,4_1,kiosk,0
"apelsin (-en, -er, -erna) ",Orange,4_1,apelsin,0
"dosa (-n, -or, -orna) ",Dose,4_1,dosa,0
"glass (-en, -ar, -arna) ",Eis,4_1,glass,0
"godispåse (-n, godispåsar, godispåsarna) ",Tüte Süssigkeiten,4_1,godispase,0
"godis (-et, -)",Süssigkeiten,4_1,godis,0
"påse (-n, påsar, påsarna)","Tüte, Beutel",4_1,pase,0
"frimärke (-t, -n, -na) ",Briefmarke,4_1,frimärke,0
"cigarett (-en, -er, -erna) ",Zigarette,4_1,cigarett,0
"äpple (-t, -n, -na) ",Apfel,4_1,äpple,0
"lasagne (-n, -r, -rna) ",Lasagne,4_1,lasagne,0
"ostsmörgås (-en, -ar, -arna) ",Käsebrot,4_1,ostsmörgas,0
"ost (-en, -ar, -arna)",Käse,4_1,ost,0
"smörgås (-en, -ar, -arna)","Butterbrot, belegtes Brot",4_1,smörgas,0
"pizza (-n, -or, -orna) ",Pizza,4_1,pizza,0
"räksallad (-en, -er, -erna) ",Garnelensalat,4_1,räksallad,0
"räka (-n, -or, orna)",Garnele,4_1,räka,0
"sallad (-en, -er, -erna)",Salat,4_1,sallad,0
"sushi (-n, -) ",Sushi,4_1,sushi,0
"thaicurry (-n, -) ",thailändisches Currygericht,4_1,thaicurry,0
"wrap (-en, -s, -sen) ",Wrap,4_1,wrap,0
"soppa (-n, -or, -orna)",Suppe,4_1,soppa,0
"bröd (-et, =, -en) ",Brot,4_1,bröd,0
"brownie (-n, -s) ",Brownie,4_1,brownie,0
"chokladboll (-en, -ar- arna) ",Schokobällchen,4_1,chokladboll,0
"chokladruta (-n, -or, -orna) ",Schokoecke,4_1,chokladruta,0
"choklad (-en, -er, -erna) ",Schokolade,4_1,choklad,0
"dammsugare (-n, =, -arna) ",Punschröllchen (wörtlich: Staubsauger),4_1,dammsugare,0
"morotskaka (-n, -or, -orna) ",Karottenkuchen,4_1,morotskaka,0
"morot (-en, morötter, morötterna)",Karotten,4_1,morot,0
"kaka (-n, -or, -orna)","Kuchen, Plätzchen, Gebäck",4_1,kaka,0
"mazarin (-en, -er, -erna) ",Mandelgebäck,4_1,mazarin,0
"kopp (-en, -ar, -arna)",Tasse,4_1,kopp,0
"te (-et, -er, -erna)",Tee,4_1,te,0
"wienerbröd (-et, =, -en) ","Kopenhagener Gebäck, Plunder",4_1,wienerbröd,0
"glas (-et, =, -en)",Glas,4_1,glas,0
"juice (-n, -r, -rna)  ",Saft,4_1,juice,0
"sälja (säljer, sålde, sålt)",verkaufen,4_1,sälja,0
på torget,auf dem Markt(platz),4_2,pa torget,0
"torg (-et, =, -en) ","Markt, Platz, Marktplatz",4_2,torg,0
"bokstav (-en, bokstäver, bokstäverna)  ",Buchstabe,4_2,bokstav,0
"paprika (-n, -or, -orna) ",Peperoni,4_2,paprika,0
"gurka (-n, -or, -orna) ",Gurke,4_2,gurka,0
"vindruva/druva (-n, -or, -orna)  ",Weintraube/Traube,4_2,vindruva/druva,0
"purjolök (-en, -ar, -arna)  ",Lauch,4_2,purjolök,0
"päron (-et, =, -en)  ",Birne,4_2,päron,0
"kilo (-t, =/-n, -na)",Kilo,4_2,kilo,0
styck (unveränderlich),Stück,4_2,styck,0
"chokladkaka (-n, -or, orna)",Tafel Schokolade,4_2,chokladkaka,0
"persika (-n, -or, -orna)  ",Pfirsich,4_2,persika,0
"tomat (-en, -er, -erna)",Tomate,4_2,tomat,0
i mataffären,im Lebensmittelgeschäft,4_3,i mataffären,0
"mataffär (-en, -er, -erna) ","Lebensmittelgeschäft, Esswarenladen ",4_3,mataffär,0
"hylla (-n, -or, -orna) ",Regal,4_3,hylla,0
till vänster,linkerhand; nach links,4_3,till vänster,0
vänster ,links,4_3,vänster,0
till höger,rechterhand; nach rechts,4_3,till höger,0
första  ,erste/r/s,4_3,första,0
andra ,zweite/r/s,4_3,andra,0
tredje ,dritte/r/s,4_3,tredje,0
fjärde ,vierte/r/s,4_3,fjärde,0
"bageri (-et, -er, -erna) ",Bäckerei,4_3,bageri,0
"mejeri (-et, -er, -erna)  ",Molkerei,4_3,mejeri,0
"kött (-et, =, -en)  ",Fleisch,4_3,kött,0
"hygien (-en, -) ",Hygiene,4_3,hygien,0
"fisk (-en, -ar, -arna) ",Fisch,4_3,fisk,0
"skaldjur (-et, =, -en) ",Schalentiere,4_3,skaldjur,0
"chark (-en, -) ",Fleisch- und Wurstwaren,4_3,chark,0
"dryck (-en, -er, -erna) ",Getränk,4_3,dryck,0
"snacks (-en, -)",Snacks,4_3,snacks,0
"bakprodukt (-en, -er, -erna) ",Backzutat (wörtlich: Backprodukt),4_3,bakprodukt,0
"baka (-r, -de, -t) ",backen,4_3,baka,0
Var finns ...?,Wo ist/gibt es ...?,4_3,Var finns ...?,0
"finnas (finns, fanns, funnits)","sein, existieren, sich befinden",4_3,finnas,0
"kakao (-n, -)",Kakao,4_3,kakao,0
"falukorv (-en, -ar, -arna)",schwedische Fleischwurst,4_3,falukorv,0
"korv (-en, -ar, -arna) ",Wurst,4_3,korv,0
ursäkta,Entschuldigung,4_3,ursäkta,0
"turkisk (-t, -a) ",türkisch,4_3,turkisk,0
"yoghurt (-en, -) ",Joghurt,4_3,yoghurt,0
förlåt mig ,Verzeihung (wörtlich: verzeih mir),4_3,förlat mig,0
Kom så ska jag visa!,"Komm, ich zeig's dir!",4_3,Kom sa ska jag visa!,0
"visa (-r, -de, -t)",zeigen,4_3,visa,0
"parmesanost (-en, -ar, -arna) ",Parmesankäse,4_3,parmesanost,0
slut ,"aus, zu Ende, ausverkauft, vergriffen",4_3,slut,0
"karta (-n, -or, -orna) ",Karte,4_3,karta,0
över,über,4_3,över,0
"affär (-en, -er, -erna)","Geschäft, Laden",4_3,affär,0
(en) karta över [affären],(eine) Karte vom [Geschäft],4_3, karta över [affären],0
ovanför,"oben, oberhalb",4_3,ovanför,0
"vara (-n, -or, -orna)",Ware,4_3,vara,0
"lättöl (-et, =, -en)",Leichtbier (max. 2.25% Alkohol),4_3,lättöl,0
"lätt (=, -a)",leicht,4_3,lätt,0
"öl (-et, =, -en)  ",Bier,4_3,öl,0
fil (-en) ,schwedische Sauermilch,4_3,fil,0
"köttfärs (-en, -) ",Hackfleisch,4_3,köttfärs,0
"ostbåge (-n, ostbågar, ostbågarna) ",Käseflip (Chips) (wörtlich: Käsebogen),4_3,ostbage,0
"tvål (-en, -ar, -arna) ",Seife,4_3,tval,0
"smör (-et, -) ",Butter,4_3,smör,0
"mjöl (-et, -) ",Mehl,4_3,mjöl,0
"sill (-en, -ar, -arna) ",Hering,4_3,sill,0
"socker (sockret, -) ",Zucker,4_3,socker,0
"saltlakrits (-en, -) ",Salzlakritze,4_3,saltlakrits,0
"fläskkotlett (-en, -er, -erna) ",Schweinskotelett,4_3,fläskkotlett,0
"fläsk (-et, -)",Schweinefleisch,4_3,fläsk,0
"kotlett (-en, -er, -erna)",Kotelett,4_3,kotlett,0
"duschkräm (-en, -er, -erna)",Duschgel,4_3,duschkräm,0
"dusch (-en, -ar, -arna)",Dusche,4_3,dusch,0
"kräm (-en, -er, -erna)",Creme,4_3,kräm,0
"förpackning (-en, -ar, -arna) ",Verpackung,4_3,förpackning,0
"burk (-en, -ar, -arna) ","Dose, Glas",4_3,burk,0
"tub (-en, -er, -erna) ",Tube,4_3,tub,0
"ask (-en, -ar, -arna)  ",Schachtel,4_3,ask,0
"chips (-et, =, -en) ",Chips,4_3,chips,0
"kaviar (-en, -) ",Kaviar,4_3,kaviar,0
"ketchup (-en, -) ",Ketchup,4_3,ketchup,0
"knäckebröd (-et, =, -en) ",Knäckebrot,4_3,knäckebröd,0
"lingonsylt (-en, -er, -erna) ",Preiselbeerkonfitüre,4_3,lingonsylt,0
"lingon (-et, =, -en)",Preiselbeere,4_3,lingon,0
"sylt (-en, -er, -erna)","Konfitüre, Eingemachtes",4_3,sylt,0
"marmelad (-en, -er, -erna)  ",Marmelade,4_3,marmelad,0
"mineralvatten (mineralvattnet, -)",Mineralwasser,4_3,mineralvatten,0
"mjukost (-en, -ar, -arna) ",Weichkäse,4_3,mjukost,0
"mjölk (-en, -) ",Milch,4_3,mjölk,0
"olja (-n, -or, -orna) ",Öl,4_3,olja,0
"schampo (-t, -n, -na) ",Shampoo,4_3,schampo,0
"tandkräm (-en, -er, -erna) ",Zahnpasta,4_3,tandkräm,0
"tandpetare (-n, =, tandpetarna)  ",Zahnstocher,4_3,tandpetare,0
"tändsticka (-n, -or, -orna)  ",Streichholz,4_3,tändsticka,0
"ärta (-n, -or, -orna)  ",Erbse,4_3,ärta,0
"experimentteater (-n, -teatrar, -teatrarna)  ",Experimenttheater,5_1,experimentteater,0
"experiment (-et, =, -en)  ",Experiment,5_1,experiment,0
"teater (-n, teatrar, teatrarna)  ",Theater,5_1,teater,0
Vilken dag? ,An welchem Tag?,5_1,Vilken dag?,0
på tisdag,am Dienstag (Zukunft),5_1,pa tisdag,0
"tisdag (-en, -ar, -arna) ",Dienstag,5_1,tisdag,0
Vad synd!,Wie schade!,5_1,Vad synd!,0
"gå (går, gick, gått) på bio",ins Kino gehen,5_1,ga pa bio,0
"bio (-n, biografer, biograferna) ",Kino,5_1,bio,0
på lördag,am Samstag (Zukunft),5_1,pa lördag,0
"lördag (-en, -ar, -arna) ",Samstag,5_1,lördag,0
"hänga (-er, -de, -t) med ",mitkommen,5_1,hänga med,0
"semester (-n, semestrar, semestrarna) ",Ferien,5_1,semester,0
"helvete (-t, -n, -na) ",Hölle,5_1,helvete,0
Var går ...? ,Wo läuft ...?,5_1,Var gar ...?,0
"ta (tar, tog, tagit) ett glas vin",ein Glas Wein trinken (wörtlich: nehmen),5_1,ta ett glas vin,0
"lust (-en, -ar, -arna) ",Lust,5_1,lust,0
"gå (går, gick, gått) på hockey",an ein Eishockeyspiel gehen,5_1,ga pa hockey,0
hockey (-n) ,Hockey,5_1,hockey,0
mig (objektspronomen),"mir, mich (Objektpronomen)",5_1,mig,0
på onsdag,am Mittwoch (Zukunft),5_1,pa onsdag,0
"onsdag (-en, -ar, -arna) ",Mittwoch,5_1,onsdag,0
mot,"gegen, in Richtung",5_1,mot,0
Vad skoj!,Super!/Was für ein Spass! (Wörtlich: Wie spassig!),5_1,Vad skoj!,0
"skoj (-et, =, -en) ",Spass,5_1,skoj,0
"fixa (-r, -de, -t) biljetter",Tickets besorgen (ugs.),5_1,fixa biljetter,0
"biljett (-en, -er, -erna) ",Ticket,5_1,biljett,0
på fredag,am Freitag (Zukunft),5_1,pa fredag,0
"fredag (-en, -ar, -arna) ",Freitag,5_1,fredag,0
Hur så? ,Wieso?,5_1,Hur sa?,0
biljetter till [Stadsteatern],Tickets fürs [Stadttheater],5_1,biljetter till [Stadsteatern],0
"låta (låter, lät, låtit) ","klingen, tönen",5_1,lata,0
"pjäs (-en, -er, -erna) ",Theaterstück,5_1,pjäs,0
"drömspel (-et, =, -en) ",Traumspiel,5_1,drömspel,0
"dröm (-men, -mar, -marna)",Traum,5_1,dröm,0
inte precis,nicht gerade,5_1,inte precis,0
"favorit (-en, -er, -erna) ",Favorit/in,5_1,favorit,0
i stället  ,stattdessen,5_1,i stället,0
ikväll ,heute Abend,5_1,ikväll,0
Vad går där?,Was läuft dort?,5_1,Vad gar där?,0
"akrobatisk (-t, -a) ",akrobatisch,5_1,akrobatisk,0
"poesi (-n, -er, -erna) ",Poesie,5_1,poesi,0
gratis ,"gratis, umsonst",5_1,gratis,0
"ta (tar, tog, tagit) en öl",ein Bier trinken (wörtlich: nehmen),5_1,ta en öl,0
varför inte ,warum nicht,5_1,varför inte,0
"veckodag (-en, -ar, -arna)  ",Wochentag,5_1,veckodag,0
"måndag (-en, -ar, -arna)",Montag,5_1,mandag,0
"torsdag (-en, -ar- arna) ",Donnerstag,5_1,torsdag,0
"söndag (-en, -ar, -arna)  ",Sonntag,5_1,söndag,0
"diskutera (-r, -de, -t)",diskutieren,5_1,diskutera,0
"annons (-en, -er, -erna) ",Anzeige,5_1,annons,0
imorgon kväll,morgen Abend,5_1,imorgon kväll,0
nästa vecka,nächste Woche,5_1,nästa vecka,0
"åka (-er, -te, -t) [till]",fahren [nach],5_1,aka [till],0
på fritiden,in der Freizeit,5_2,pa fritiden,0
"fritid (-en, -er, -erna)",Freizeit,5_2,fritid,0
vem,"wer, wen, wem",5_2,vem,0
"bruka (-r, -de, -t)","pflegen, als Gewohnheit haben",5_2,bruka,0
"konsert (-en, -er, -erna)  ",Konzert,5_2,konsert,0
"klassisk (-t, -a)",klassisch,5_2,klassisk,0
på tisdagar,"dienstags, jeweils am Dienstag",5_2,pa tisdagar,0
"vattengympa (-n, -)",Wassergymnastik,5_2,vattengympa,0
"gympa (-n, -)",Gymnastik (ugs.),5_2,gympa,0
sällan ,selten,5_2,sällan,0
på datorn,am/auf dem Computer,5_2,pa datorn,0
på söndagar,"sonntags, jeweils am Sonntag",5_2,pa söndagar,0
"träna (-r, -de, -t)",trainieren,5_2,träna,0
"hund (-en, -ar, -arna)",Hund,5_2,hund,0
"tycka (-er, -te, -t) om att göra ngt",etw. gerne tun,5_2,tycka om att göra ngt,0
"göra (gör, gjorde, gjort) trick",Tricks machen,5_2,göra trick,0
"trick (-et, =, -en)",Trick,5_2,trick,0
i parken,im Park,5_2,i parken,0
"park (-en, -er, -erna) ",Park,5_2,park,0
på måndagar,"montags, immer am Montag",5_2,pa mandagar,0
"sjunga (sjunger, sjöng, sjungit) [i en kör]",[in einem Chor] singen,5_2,sjunga [i en kör],0
"kör (-en, -er, -erna) ",Chor,5_2,kör,0
"fantastisk (-t, -a) ",fantastisch,5_2,fantastisk,0
"gilla (-r, -de, -t)","mögen, gerne haben/tun",5_2,gilla,0
"asiatisk (-t, -a) ",asiatisch,5_2,asiatisk,0
i trädgården,im Garten,5_2,i trädgarden,0
"trädgård (-en, -ar, -arna) ",Garten,5_2,trädgard,0
"blomma (-n, -or, -orna) ",Blume,5_2,blomma,0
"auktion (-en, -er, -erna) ","Versteigerung, Auktion",5_2,auktion,0
på landet ,auf dem Land,5_2,pa landet,0
"land (-et, länder, länderna)",Land,5_2,land,0
"tycka (-er, -te, -t) om ngn/ngt","jmdn./etw. gern haben, mögen",5_2,tycka om ngn/ngt,0
"sak (-en, -er, -erna)","Sache, Ding",5_2,sak,0
"jaga (-r, -de, -t) ",jagen,5_2,jaga,0
"fiska (-r, -de, -t) ",fischen,5_2,fiska,0
"bibliotek (-et, =, -en) ",Bibliothek,5_2,bibliotek,0
aldrig ,nie,5_2,aldrig,0
"teveserie (-n, -r, -rna) ",Fernsehserie,5_2,teveserie,0
"polisserie (-n, -r, -rna) ",Krimiserie,5_2,polisserie,0
på vintern,jeweils im Winter ,5_2,pa vintern,0
"vinter (-n, vintrar, vintrarna) ",Winter,5_2,vinter,0
att (subjunktion),dass (Subjunktion),5_2,att,0
"gå (går, gick, gått) på yoga",ins Yoga gehen,5_2,ga pa yoga,0
"yoga (-n, -)",Yoga,5_2,yoga,0
"intresse (-t, -n, -na)",Interesse,5_2,intresse,0
"fotboll (-en, -ar, -arna)",Fussball,5_2,fotboll,0
innebandy (-n) ,Unihockey,5_2,innebandy,0
"schack (-et, =, -en) ",Schach,5_2,schack,0
"poker (-n, -) ",Poker,5_2,poker,0
"trumpet (-en, -er, -erna) ",Trompete,5_2,trumpet,0
"skida (-n, -or, -orna)  ",Ski,5_2,skida,0
"skridsko (-n, -r, -rna)  ",Schlittschuh,5_2,skridsko,0
"skateboard (-en, -ar, -arna) ",Skateboard,5_2,skateboard,0
"natur (-en, -er, -erna) ",Natur,5_2,natur,0
"kyrka (-n, -or, -orna)  ",Kirche,5_2,kyrka,0
"opera (-n, -or, -orna)",Oper,5_2,opera,0
"museum (museet, museer, museerna) ",Museum,5_2,museum,0
"gym (-met, =, -men)",Fitnessstudio,5_2,gym,0
"krog (-en, -ar, -arna)  ",Kneipe,5_2,krog,0
"klubb (-en, -ar, -arna) ","Klub, Verein",5_2,klubb,0
"bar (-en, -er, -erna)",Bar,5_2,bar,0
"bioannons (-en, -er, -erna) ",Kinoprogramm (wörtlich: Kinoanzeige),5_3,bioannons,0
"härlig (-t, -a) ",herrlich,5_3,härlig,0
"romantisk (-t, -a)  ",romantisch,5_3,romantisk,0
"historisk (-t, -a) ",historisch,5_3,historisk,0
"engelsk (-t, -a) ",englisch,5_3,engelsk,0
"skräckfilm (-en, -er, -erna) ",Horrorfilm,5_3,skräckfilm,0
"läskig (-t, -a) ","gruselig, unheimlich",5_3,läskig,0
"svår (-t, -a) ",schwierig,5_3,svar,0
"kung (-en, -ar, -arna)",König,5_3,kung,0
"hemmakväll (-en, -ar, -arna) ",gemütlicher Abend zu Hause,5_3,hemmakväll,0
i så fall,in dem Fall,5_3,i sa fall,0
"fotbollsmatch (-en, -er, -erna) ",Fussballspiel,5_3,fotbollsmatch,0
"fransk (-t, -a)  ",französisch,5_3,fransk,0
några (indefinit pronomen),einige (Indefinitpronomen),5_3,nagra,0
"dansk (-t, -a) ",dänisch,5_3,dansk,0
"tråkig (-t, -a) ",langweilig,5_3,trakig,0
"sorglig (-t, -a) ",traurig,5_3,sorglig,0
"intressant (=, -a) ",interessant,5_3,intressant,0
"tysk (-t, -a) ",deutsch,5_3,tysk,0
"kinesisk (-t, -a)  ",chinesisch,5_3,kinesisk,0
"amerikansk (-t, -a) ",amerikanisch,5_3,amerikansk,0
"indisk (-t, -a)  ",indisch,5_3,indisk,0
"ny (nytt, -a)",neu,5_3,ny,0
"japansk (-t, -a) ",japanisch,5_3,japansk,0
spännande (unveränderlich),spannend,5_3,spännande,0
"koreansk (-t, -a) ",koreanisch,5_3,koreansk,0
"någon (något, några) (indefinit pronomen)","(irgend)ein, (irgend)eine, (irgend)einen (Indefinitpronomen)",5_3,nagon,0
